Link,Title,Price,Image URL,Region,Labels,Actual Floor,Max Floor,Size,Rooms,Square Price
https://list.am/item/17491125,"3 սենյականոց բնակարան նորակառույց շենքում Օհանովի փողոցում, 93 ք.մ., քարե շենք",82000,,Մալաթիա Սեբաստիա,Գործակալություն,5,5,93,3,881.7204301075269
https://list.am/item/19817344,"2 սենյականոց բնակարան նորակառույց շենքում Մամիկոնյանց փողոցում, 81 քմ, բարձր առաստաղներ",77000,,Արաբկիր,Գործակալություն,10,10,81,2,950.6172839506173
https://list.am/item/20406174,"2 սենյականոց բնակարան նորակառույց շենքում Գյուլիքեխվյան փողոցում, 79 ք.մ., մի քանի պատշգամբ",77000,,Նոր Նորք,Գործակալություն,8,12,79,2,974.6835443037975
https://list.am/item/20819861,"2 սենյականոց բնակարան նորակառույց շենքում, Նազարբեկյան թաղամաս, 80 քմ, 5/9 հարկ, մի քանի պատշգամբ",82000,,Աջափնյակ,,5,9,80,2,1025.0
https://list.am/item/19826032,"2 սենյականոց բնակարան նորակառույց շենքում Գևորգ Չաուշի փողոցում, 62 քմ, 12/14 հարկ, բարձր առաստաղներ",64500,,Աջափնյակ,,12,14,62,2,1040.3225806451612
https://list.am/item/19826032,"2 սենյականոց բնակարան նորակառույց շենքում Գևորգ Չաուշի փողոցում, 62 քմ, 12/14 հարկ, բարձր առաստաղներ",64500,,Աջափնյակ,,12,14,62,2,1040.3225806451612
https://list.am/item/19826032,"2 սենյականոց բնակարան նորակառույց շենքում Գևորգ Չաուշի փողոցում, 62 քմ, 12/14 հարկ, բարձր առաստաղներ",64500,,Աջափնյակ,,12,14,62,2,1040.3225806451612
https://list.am/item/19826032,"2 սենյականոց բնակարան նորակառույց շենքում Գևորգ Չաուշի փողոցում, 62 քմ, 12/14 հարկ, բարձր առաստաղներ",64500,,Աջափնյակ,,12,14,62,2,1040.3225806451612
https://list.am/item/19826032,"2 սենյականոց բնակարան նորակառույց շենքում Գևորգ Չաուշի փողոցում, 62 քմ, 12/14 հարկ, բարձր առաստաղներ",64500,,Աջափնյակ,,12,14,62,2,1040.3225806451612
https://list.am/item/19826032,"2 սենյականոց բնակարան նորակառույց շենքում Գևորգ Չաուշի փողոցում, 62 քմ, 12/14 հարկ, բարձր առաստաղներ",64500,,Աջափնյակ,,12,14,62,2,1040.3225806451612
https://list.am/item/19826032,"2 սենյականոց բնակարան նորակառույց շենքում Գևորգ Չաուշի փողոցում, 62 քմ, 12/14 հարկ, բարձր առաստաղներ",64500,,Աջափնյակ,,12,14,62,2,1040.3225806451612
https://list.am/item/19816054,"2 սենյականոց բնակարան նորակառույց շենքում, Նորք-Մարաշ վարչական շրջան, 70 ք.մ., բարձր առաստաղներ",73500,,Նոր Նորք,Գործակալություն,4,11,70,2,1050.0
https://list.am/item/20508606,"3 սենյականոց բնակարան նորակառույց շենքում Սերո Խանզադյան փողոցում, 83 ք.մ., 8/11 հարկ",88000,,Նորք Մարաշ,Գործակալություն,8,11,83,3,1060.2409638554218
https://list.am/item/20504642,"2 սենյականոց բնակարան նորակառույց շենքում Սերո Խանզադյան փողոցում, 63 ք.մ., 4/11 հարկ",67000,,Նորք Մարաշ,Գործակալություն,4,11,63,2,1063.4920634920634
https://list.am/item/19365549,"3 սենյականոց բնակարան նորակառույց շենքում Նորք Մարաշում, 70 ք.մ., 7/11 հարկ, բարձր առաստաղներ",77000,,Նորք Մարաշ,Գործակալություն,7,11,70,3,1100.0
https://list.am/item/20402727,"2 սենյականոց բնակարան նորակառույց շենքում Մարշալ Բաբաջանյան փողոցում, 70 քմ, 5/17 հարկ",77000,,Ավան,Գործակալություն,5,17,70,2,1100.0
https://list.am/item/19963043,"2 սենյականոց բնակարան նորակառույց շենքում Ֆուչիկի փողոցում, 57 քմ, 5/16 հարկ, բարձր առաստաղներ",63000,,Աջափնյակ,Գործակալություն,5,16,57,2,1105.2631578947369
https://list.am/item/18548433,"2 սենյականոց բնակարան նորակառույց շենքում Քանաքեռ 14-րդ փողոցում, 82 ք.մ., 2 սանհանգույց",92000,,Քանաքեռ Զեյթուն,Գործակալություն,10,11,82,2,1121.9512195121952
https://list.am/item/19438589,"3 սենյականոց բնակարան նորակառույց շենքում Շարուրի փողոցում, 71 ք.մ., կապիտալ վերանորոգված",80000,,Շենգավիթ,Գործակալություն,4,4,71,3,1126.7605633802816
https://list.am/item/20951962,"2 սենյականոց բնակարան նորակառույց շենքում, Նազարբեկյան թաղամաս, 57 քմ, 9/16 հարկ, բարձր առաստաղներ",66000,,Աջափնյակ,Գործակալություն,9,16,57,2,1157.8947368421052
https://list.am/item/17926066,"3 սենյականոց բնակարան նորակառույց շենքում Մարգարյան փողոցում, 68 ք.մ., կոսմետիկ վերանորոգում",79000,,Աջափնյակ,Գործակալություն,10,10,68,3,1161.764705882353
https://list.am/item/20648472,"2 սենյականոց բնակարան նորակառույց շենքում Ռուբինյանց փողոցում, 60 ք.մ., 4/16 հարկ, բարձր առաստաղներ",70000,,Քանաքեռ Զեյթուն,Գործակալություն,4,16,60,2,1166.6666666666667
https://list.am/item/20828546,"3 սենյականոց բնակարան նորակառույց շենքում Հրաչյա Աճառյան փողոցում, 80 ք.մ., 8/18 հարկ",94000,,Ավան,Գործակալություն,8,18,80,3,1175.0
https://list.am/item/21098387,"3 սենյականոց բնակարան նորակառույց շենքում Միքայել Մազմանյանի փողոցում, 76 քմ, մի քանի պատշգամբ",90000,,Աջափնյակ,Գործակալություն,12,12,76,3,1184.2105263157894
https://list.am/item/18678282,"2 սենյականոց բնակարան նորակառույց շենքում Ավանում, 59 ք.մ., 4/14 հարկ",70650,,Ավան,Գործակալություն,4,14,59,2,1197.457627118644
https://list.am/item/21029532,"2 սենյականոց բնակարան նորակառույց շենքում Դեղատան փողոցում, 70 քմ, բարձր առաստաղներ",85000,,Կենտրոն,,7,7,70,2,1214.2857142857142
https://list.am/item/21106006,"3 սենյականոց բնակարան նորակառույց շենքում, Квартал Ованнисян, 78 քմ, նախավերջին հարկ",95000,,Ավան,,8,9,78,3,1217.948717948718
